"Page.Name";"disclaimer";"spend";"Number.of.Ads.in.Library";"Specific_Party_uncleaned";"Specific_Party";"Broad_Sector_uncleaned";"Broad_Sector";"Support_Type_uncleaned";"Support_Type";"FEC_registered";"CMT_ID";"CMTE_ST";"CMTE_DSGN";"CMTE_PTY_AFFILIATION";"ORG_TP";"CONNECTED_ORG_NM";"CAND_ID";"CMTE_TP"
"NYS Democratic Senate Campaign Committee (DSCC)";"NYS DEMOCRATIC SENATE CAMPAIGN COMMITTEE";152832;82;"DEMOCRATIC";"DEMOCRATIC";"Party Committee";"Party";"Political_party_committees";"party committee";"NO";"";"-";"-";"-";"-";"-";"-";"-"
"UltraViolet";"ULTRAVIOLET ACTION";152098;139;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"501(c)(4)";"50x";"YES";"C90016247";"DC";"U";"";"";"";"";"I"
"Vote Yes for Fair Tax";"VOTE YES FOR FAIR TAX";151631;249;"NON-PARTISAN";"NONPARTISAN";"Ideology/Single Issue";"Ideology/Single Issue";"?";"other";"NO";"";"";"";"";"";"";"";""
"Still My President - Donald Trump";"RED STATE POLITICS LLC";151243;378;"REPUBLICAN";"REPUBLICAN";"communications";"communications";"Corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"Team Collins";"COLLINS FOR SENATOR";151199;99;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00314575";"ME";"P";"REP";"";"";"S6ME00159";"S"
"Lyft";"LYFT, INC.";150758;14;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"Political_Action_Commitees";"pac";"YES";"C00743823";"CA";"B";"";"C";"LYFT, INC.";"";"N"
"Florida Votes for Biden";"TECH FOR CAMPAIGNS";150320;227;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00636027";"CA";"U";"";"";"NONE";"";"V"
"Lizzie Pannill Fletcher for Congress";"ELIZABETH PANNILL FLETCHER FOR CONGRESS";150115;47;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00640045";"TX";"P";"DEM";"";"DIGIDEMS COMMITTEE";"H8TX07140";"H"
"No On Prop 20";"NO ON PROP 20 - CALIFORNIANS AGAINST THE PRISON SPENDING SCAM";150037;924;"NON-PARTISAN";"NONPARTISAN";"law";"law";"Corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"-";"-";"-";"-";"-";"-";"-"
"Better Future Michigan";"BETTER FUTURE MICHIGAN. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE";149810;37;"REPUBLICAN";"REPUBLICAN";"region";"region";"501(c)(4)";"50x";"NO";"";"";"";"";"";"";"";""
"ACLU of Florida";"ACLU OF FLORIDA";149778;78;"DEMOCRATIC";"DEMOCRATIC";"Labor";"Ideology/Single Issue";"501(c)(4)";"50x";"NO";"";"";"";"";"";"";"";""
"Coalition for Safe and Secure Data";"COALITION FOR SAFE AND SECURE DATA";148171;40;"NON-PARTISAN";"NONPARTISAN";"data";"other";"Political_Action_Commitees";"pac";"NO";"";"";"";"";"";"";"";""
"Bank of the West";"BANK OF THE WEST";147871;152;"NON-PARTISAN";"NONPARTISAN";"banking";"Ideology/Single Issue";"Corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"Coloradans Creating Opportunities";"COLORADANS CREATING OPPORTUNITIES";147414;33;"DEMOCRATIC";"DEMOCRATIC";"region";"region";"501(c)(4)";"50x";"NO";"";"";"";"";"";"";"";""
"NYC Votes";"NEW YORK CITY CAMPAIGN FINANCE BOARD";147114;273;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"state";"government";"NO";"";"";"";"";"";"";"";""
"Field Team 6";"FIELD TEAM 6";145911;338;"?";"NONPARTISAN";"?";"other";"Political_Action_Commitees";"pac";"YES";"C00695346";"CA";"U";"";"";"";"";"O"
"Progress Arizona";"PROGRESSNOW AZ";145754;238;"DEMOCRATIC";"DEMOCRATIC";"region";"region";"Political_Action_Commitees";"pac";"YES";"C00746107";"AZ";"U";"";"";"";"";"O"
"Swing Left";"SWING LEFT";145602;546;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00632133";"DC";"U";"";"";"FLIPPABLE (FEDERAL)";"";"W"
"Phil Ehr";"EHR FOR CONGRESS";145253;96;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00698993";"FL";"P";"DEM";"";"NONE";"H8FL01107";"H"
"Diane Mitsch Bush for Colorado";"DIANE FOR COLORADO CD3";145085;323;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00649459";"CO";"P";"DEM";"";"";"H8CO03192";"H"
"Yes on 19";"YES ON 19: COALITION OF FIREFIGHTERS, REALTORS, SENIORS, DISABLED HOMEOWNERS, AND WILDFIRE VICTIMS.";144942;843;"REPUBLICAN";"REPUBLICAN";"Ideology/Single Issue";"law";"?";"other";"NO";"";"";"";"";"";"";"";""
"WorkMoney";"WORKMONEY INC";144545;86;"NON-PARTISAN";"NONPARTISAN";"Ideology/Single Issue";"Ideology/Single Issue";"501(c)(4)";"50x";"YES";"C90020199";"WI";"U";"";"";"";"";"I"
"Texas Oil and Gas Association";"TEXAS OIL & GAS ASSOCIATION";144527;67;"NON-PARTISAN";"NONPARTISAN";"Ideology/Single Issue";"Ideology/Single Issue";"Corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"Minnesota Department of Health";"MINNESOTA DEPARTMENT OF HEALTH";144487;70;"NON-PARTISAN";"NONPARTISAN";"Ideology/Single Issue";"Ideology/Single Issue";"state";"government";"NO";"";"";"";"";"";"";"";""
"Fight for Our Heroes";"FIGHT FOR OUR HEROES";144347;112;"?";"NONPARTISAN";"?";"other";"501(c)(4)";"50x";"YES";"C90020348";"DE";"U";"";"";"";"";"I"
"Progress North Carolina Action";"PROGRESS NC ACTION";144235;1902;"DEMOCRATIC";"DEMOCRATIC";"region";"region";"501(c)(4)";"50x";"NO";"";"";"";"";"";"";"";""
"The California Endowment";"THE CALIFORNIA ENDOWMENT";144228;132;"NON-PARTISAN";"NONPARTISAN";"polling";"other";"501(c)(3)";"50x";"NO";"";"";"";"";"";"";"";""
"Orange County Registrar of Voters";"ORANGE COUNTY REGISTRAR OF VOTERS";144118;40;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"state";"government";"NO";"";"";"";"";"";"";"";""
"Stop Trump PAC";"STOP 45 PAC";144113;101;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00743427";"IL";"U";"";"";"NONE";"";"O"
"The Leadership Conference on Civil and Human Rights";"THE LEADERSHIP CONFERENCE ON CIVIL AND HUMAN RIGHTS";144042;3322;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"501(c)(4)";"50x";"NO";"";"";"";"";"";"";"";""
"Clean Energy Transition Project";"CLEAN ENERGY TRANSITION PROJECT";143934;16;"NON-PARTISAN";"NONPARTISAN";"Ideology/Single Issue";"Ideology/Single Issue";"501(c)(3)";"50x";"NO";"";"";"";"";"";"";"";""
"Senate Majority Fund";"SENATE MAJORITY FUND";143920;67;"DEMOCRATIC";"DEMOCRATIC";"Party Committee";"Party";"Political_party_committees";"party committee";"NO";"";"";"";"";"";"";"";""
"North Star Alaska";"NORTH STAR";143561;8;"DEMOCRATIC";"DEMOCRATIC";"Ideology/Single Issue";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00431874";"MN";"D";"";"";"";"";"Q"
"Occupy Democrats";"OCCUPY DEMOCRATS ELECTION FUND";142856;219;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00718510";"DC";"U";"";"";"NONE";"";"O"
"Project HOPE";"PROJECT HOPE-THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION, INC.";142807;120;"NON-PARTISAN";"NONPARTISAN";"Healthcare";"Ideology/Single Issue";"501(c)(3)";"50x";"NO";"";"";"";"";"";"";"";""
"Alexandria Ocasio-Cortez";"THE SQUAD VICTORY FUND";142754;1714;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00750166";"DC";"J";"";"";"NONE";"";"N"
"Massachusetts Majority IE PAC";"MASSACHUSETTS MAJORITY IE PAC";142656;238;"REPUBLICAN";"REPUBLICAN";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"NO";"";"";"";"";"";"";"";""
"Boy Scouts Investigation";"X SOCIAL MEDIA LLC";141895;31;"NON-PARTISAN";"NONPARTISAN";"lawyer";"other";"Corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"Move Health Care Forward NJ";"MOVE HEALTH CARE FORWARD NJ INC";141260;353;"NON-PARTISAN";"NONPARTISAN";"Healthcare";"Ideology/Single Issue";"501(c)4";"50x";"NO";"";"";"";"";"";"";"";""
"Humane Society Legislative Fund";"HUMANE SOCIETY LEGISLATIVE FUND";140989;204;"DEMOCRATIC";"DEMOCRATIC";"climate";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00466813";"DC";"U";"";"M";"HUMANE SOCIETY LEGISLATIVE FUND";"";"Q"
"Protect the Promise";"PROTECT THE PROMISE";140860;151;"DEMOCRATIC";"DEMOCRATIC";"Healthcare";"Ideology/Single Issue";"?";"other";"NO";"";"";"";"";"";"";"";""
"Outspoken";"LOG CABIN REPUBLICANS";140854;543;"REPUBLICAN";"REPUBLICAN";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00405506";"DC";"B";"";"M";"LOG CABIN REPUBLICANS";"";"Q"
"Lone Star Votes";"LONE STAR VOTES";140165;709;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"?";"other";"NO";"";"";"";"";"";"";"";""
"Dan Crenshaw";"CRENSHAW FOR CONGRESS";139825;288;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00660795";"TX";"P";"REP";"";"TAKE BACK THE HOUSE 2020";"H8TX02166";"H"
"Millions of Michiganians";"MILLIONS OF MICHIGANIANS";139484;30;"DEMOCRATIC";"DEMOCRATIC";"region";"region";"Political_Action_Commitees";"pac";"YES";"C00718353";"MI";"U";"";"";"NONE";"";"O"
"The Patriot Club";"RIGHTWINGGEAR";139202;8;"REPUBLICAN";"REPUBLICAN";"merchandize";"merchandize";"Corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"Working Families Party";"WORKING FAMILIES PARTY NATIONAL INDEPENDENT EXPENDITURE COMMITTEE";138975;641;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00606962";"NY";"U";"";"";"NONE";"";"Q"
"Clean Arizona Corporation Commission";"PAID FOR BY CHISPA AZ PAC. NOT AUTHORIZED BY ANY CANDIDATE. MAJOR FUNDING BY SIERRA CLUB INDEPENDENT ACTION, MOVEMENT VOTER PAC AND FUTURE NOW FUND-AZ IE.";138385;111;"NON-PARTISAN";"NONPARTISAN";"climate";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"NO";"";"";"";"";"";"";"";""
"Svedka Vodka";"CONSTELLATION BRANDS U.S. OPERATIONS, INC.";138225;2;"NON-PARTISAN";"NONPARTISAN";"alcohol";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00304832";"NY";"U";"";"C";"NONE";"";"Q"
"Americans for Prosperity -  Florida";"AMERICANS FOR PROSPERITY";138125;28;"REPUBLICAN";"REPUBLICAN";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00687103";"VA";"U";"";"";"";"";"O"
"CVS Health";"CVS HEALTH CORPORATION";137717;15;"NON-PARTISAN";"NONPARTISAN";"Healthcare";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00384818";"DC";"B";"";"C";"CVS HEALTH";"";"Q"
"American Advancement";"AMERICAN ADVANCEMENT, INC.";137651;20;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"?";"other";"NO";"";"-";"-";"-";"-";"-";"-";"-"
